Model ISO/Region Weighted Forecast - Forecast Updated Feb 9 2022 0600 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Min Temp 2/9/2022 00Z,Max Temp 2/9/2022 00Z,Average Temp DFN 2/9/2022 00Z,Min Temp 2/8/2022 18Z,Max Temp 2/8/2022 18Z,Average Temp DFN 2/8/2022 18Z,Min Temp 2/8/2022 12Z,Max Temp 2/8/2022 12Z,Average Temp DFN 2/8/2022 12Z,Min Temp 2/8/2022 06Z,Max Temp 2/8/2022 06Z,Average Temp DFN 2/8/2022 06Z,Min Temp 2/8/2022 00Z,Max Temp 2/8/2022 00Z,Average Temp DFN 2/8/2022 00Z,Min Temp 2/7/2022 18Z,Max Temp 2/7/2022 18Z,Average Temp DFN 2/7/2022 18Z,Min Temp Differences 02/09 00Z-02/08 18Z,Max Temp Differences 02/09 00Z-02/08 18Z,Min Temp Differences 02/09 00Z-02/08 12Z,Max Temp Differences 02/09 00Z-02/08 12Z,Min Temp Differences 02/09 00Z-02/08 06Z,Max Temp Differences 02/09 00Z-02/08 06Z,Min Temp Differences 02/09 00Z-02/08 00Z,Max Temp Differences 02/09 00Z-02/08 00Z,Min Temp Differences 02/09 00Z-02/07 18Z,Max Temp Differences 02/09 00Z-02/07 18Z
Day 2 - 2/10/2022,3,8,4.27,3,8,4.39,3,8,4.11,3,8,4.02,-,-,-,6,9,6.08,0,0,0,0,0,0,NA,NA,-3,-1
Day 3 - 2/11/2022,0,5,1.31,0,5,1.52,1,6,1.73,1,5,1.59,-,-,-,3,8,3.82,0,0,-1,-1,-1,0,NA,NA,-3,-3
Day 4 - 2/12/2022,-1,5,0.75,-1,5,0.79,-1,6,1.06,-1,5,0.86,-,-,-,0,5,0.99,0,0,0,-1,0,0,NA,NA,-1,0
Day 5 - 2/13/2022,0,7,2.28,0,7,2,0,7,2.19,1,8,2.54,-,-,-,-1,5,0.41,0,0,0,0,-1,-1,NA,NA,1,2
Day 6 - 2/14/2022,3,8,3.83,4,8,4.26,4,8,4.53,4,8,4.64,-,-,-,-1,6,1.23,-1,0,-1,0,-1,0,NA,NA,4,2
Day 7 - 2/15/2022,2,6,1.85,2,6,2.48,2,6,2.68,3,7,3.15,-,-,-,3,8,3.84,0,0,0,0,-1,-1,NA,NA,-1,-2
Day 8 - 2/16/2022,1,6,1.94,2,7,2.47,2,7,2.83,3,8,3.41,-,-,-,3,7,3.45,-1,-1,-1,-1,-2,-2,NA,NA,-2,-1
Day 9 - 2/17/2022,4,9,4.48,3,9,4.18,3,8,3.75,4,8,4.29,-,-,-,3,8,3.8,1,0,1,1,0,1,NA,NA,1,1
Day 10 - 2/18/2022,4,8,3.88,3,8,3.7,5,9,4.86,4,9,4.33,-,-,-,4,8,3.83,1,0,-1,-1,0,-1,NA,NA,0,0
Day 11 - 2/19/2022,3,7,2.74,2,7,2.62,3,7,3.51,3,7,3.23,-,-,-,4,9,4.37,1,0,0,0,0,0,NA,NA,-1,-2
Day 12 - 2/20/2022,2,6,2.32,3,8,3.06,3,8,3.16,2,7,2.61,-,-,-,4,7,3.68,-1,-2,-1,-2,0,-1,NA,NA,-2,-1
Day 13 - 2/21/2022,2,7,2.71,3,8,3.52,3,8,3.54,2,7,2.6,-,-,-,3,7,3.01,-1,-1,-1,-1,0,0,NA,NA,-1,0
Day 14 - 2/22/2022,3,7,2.63,3,7,2.9,3,7,2.72,3,7,2.75,-,-,-,3,7,2.83,0,0,0,0,0,0,NA,NA,0,0
Day 15 - 2/23/2022,2,7,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITALY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Min Temp 2/9/2022 00Z,Max Temp 2/9/2022 00Z,Average Temp DFN 2/9/2022 00Z,Min Temp 2/8/2022 18Z,Max Temp 2/8/2022 18Z,Average Temp DFN 2/8/2022 18Z,Min Temp 2/8/2022 12Z,Max Temp 2/8/2022 12Z,Average Temp DFN 2/8/2022 12Z,Min Temp 2/8/2022 06Z,Max Temp 2/8/2022 06Z,Average Temp DFN 2/8/2022 06Z,Min Temp 2/8/2022 00Z,Max Temp 2/8/2022 00Z,Average Temp DFN 2/8/2022 00Z,Min Temp 2/7/2022 18Z,Max Temp 2/7/2022 18Z,Average Temp DFN 2/7/2022 18Z,Min Temp Differences 02/09 00Z-02/08 18Z,Max Temp Differences 02/09 00Z-02/08 18Z,Min Temp Differences 02/09 00Z-02/08 12Z,Max Temp Differences 02/09 00Z-02/08 12Z,Min Temp Differences 02/09 00Z-02/08 06Z,Max Temp Differences 02/09 00Z-02/08 06Z,Min Temp Differences 02/09 00Z-02/08 00Z,Max Temp Differences 02/09 00Z-02/08 00Z,Min Temp Differences 02/09 00Z-02/07 18Z,Max Temp Differences 02/09 00Z-02/07 18Z
Day 1 - 2/9/2022,4,15,2.16,4,14,1.77,4,14,1.89,3,14,1.62,-,-,-,2,12,0.32,0,1,0,1,1,1,NA,NA,2,3
Day 2 - 2/10/2022,5,14,2.41,4,14,1.92,4,14,2.11,4,14,1.9,-,-,-,3,14,1.36,1,0,1,0,1,0,NA,NA,2,0
Day 3 - 2/11/2022,5,14,2.33,4,13,1.73,4,14,1.99,4,14,1.91,-,-,-,4,13,1.56,1,1,1,0,1,0,NA,NA,1,1
Day 4 - 2/12/2022,4,12,1.15,4,12,0.81,5,12,1.23,5,12,1.28,-,-,-,4,13,1.6,0,0,-1,0,-1,0,NA,NA,0,-1
Day 5 - 2/13/2022,4,12,0.62,4,12,0.47,4,13,1.06,4,13,1.09,-,-,-,4,12,0.6,0,0,0,-1,0,-1,NA,NA,0,0
Day 6 - 2/14/2022,4,12,0.57,4,11,0.24,4,12,0.85,4,12,1.12,-,-,-,4,11,0.23,0,1,0,0,0,0,NA,NA,0,1
